"Postcode","Age Group","Number of People"
3041,"35_44",1779
3041,"45_54",1827
3041,"55_64",1532
3041,"65_74",943
3041,"75_84",578
3042,"0_4",998
3042,"5_14",1684
3042,"15_19",743
3042,"20_24",840
3042,"25_34",2245
3042,"35_44",2368
3042,"45_54",2133
3042,"55_64",1682
3042,"65_74",1522
3042,"75_84",1088
3043,"0_4",1101
3043,"5_14",1846
3043,"15_19",903
3043,"20_24",1060
3043,"25_34",2623
3043,"35_44",2458
3043,"45_54",2165
3043,"55_64",2108
3043,"65_74",2098
3043,"75_84",1055
3044,"0_4",1855
3044,"5_14",3163
3044,"15_19",1416
3044,"20_24",1692
3044,"25_34",4513
3044,"35_44",4345
3044,"45_54",3705
3044,"55_64",2493
3044,"65_74",1584
3044,"75_84",1388
3045,"0_4",0
3045,"5_14",3
3045,"15_19",3
3045,"20_24",22
3045,"25_34",24
3045,"35_44",23
3045,"45_54",10
3045,"55_64",9
3045,"65_74",3
3045,"75_84",3
3046,"0_4",2437
3046,"5_14",3597
3046,"15_19",1726
3046,"20_24",2368
3046,"25_34",6784
3046,"35_44",4877
3046,"45_54",3858
3046,"55_64",2881
3046,"65_74",2244
3046,"75_84",2182
3047,"0_4",1762
3047,"5_14",2967
3047,"15_19",1435
3047,"20_24",1736
3047,"25_34",3737
3047,"35_44",2529
3047,"45_54",2496
3047,"55_64",1845
3047,"65_74",1256
3047,"75_84",872
3048,"0_4",1338
3048,"5_14",2739
3048,"15_19",1462
3048,"20_24",1471
3048,"25_34",2598
3048,"35_44",2287
3048,"45_54",2454
3048,"55_64",1810
3048,"65_74",1173
3048,"75_84",566
3049,"0_4",466
3049,"5_14",1124
3049,"15_19",645
3049,"20_24",666
3049,"25_34",1214
3049,"35_44",1166
3049,"45_54",1425
3049,"55_64",1325
3049,"65_74",798
3049,"75_84",341
3050,"0_4",18
3050,"5_14",0
3050,"15_19",3
3050,"20_24",12
3050,"25_34",24
3050,"35_44",25
3050,"45_54",10
3050,"55_64",3
3050,"65_74",16
3050,"75_84",5
3051,"0_4",589
3051,"5_14",976
3051,"15_19",1090
3051,"20_24",2907
3051,"25_34",4216
3051,"35_44",1896
3051,"45_54",1267
3051,"55_64",942
3051,"65_74",621
3051,"75_84",333
3052,"0_4",201
3052,"5_14",219
3052,"15_19",425
3052,"20_24",1129
3052,"25_34",1561
3052,"35_44",522
3052,"45_54",397
3052,"55_64",365
3052,"65_74",310
3052,"75_84",245
3053,"0_4",435
3053,"5_14",662
3053,"15_19",2568
3053,"20_24",5852
3053,"25_34",4693
3053,"35_44",1460
3053,"45_54",979
3053,"55_64",798
3053,"65_74",579
3053,"75_84",344
3054,"0_4",385
3054,"5_14",540
3054,"15_19",290
3054,"20_24",923
3054,"25_34",2304
3054,"35_44",1150
3054,"45_54",906
3054,"55_64",786
3054,"65_74",703
3054,"75_84",300
3055,"0_4",774
3055,"5_14",1129
3055,"15_19",525
3055,"20_24",1292
3055,"25_34",3575
3055,"35_44",2285
3055,"45_54",1638
3055,"55_64",1240
3055,"65_74",808
3055,"75_84",598
3056,"0_4",1107
3056,"5_14",1503
3056,"15_19",750
3056,"20_24",2721
3056,"25_34",7284
3056,"35_44",4137
3056,"45_54",2515
3056,"55_64",1896
3056,"65_74",1241
3056,"75_84",940
3057,"0_4",475
3057,"5_14",730
3057,"15_19",352
3057,"20_24",1157
3057,"25_34",3834
3057,"35_44",2043
3057,"45_54",1129
3057,"55_64",742
3057,"65_74",511
3057,"75_84",389
3058,"0_4",2231
3058,"5_14",3355
3058,"15_19",1407
3058,"20_24",2555
3058,"25_34",6566
3058,"35_44",5512
3058,"45_54",4379
3058,"55_64",3151
3058,"65_74",2069
3058,"75_84",1702
3059,"0_4",983
3059,"5_14",2081
3059,"15_19",1230
3059,"20_24",1277
