"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","lon","lat"
"mint.74","25.14518","25.19584","26.76537","25.11543","27.40634","27.74426","26.43544","27.15552","25.50253","25.44399","26.45775","26.70088","26.83333","26.47219","26.03833","26.32366","27.00727","26.36894","26.37013","27.27493","26.36891","26.49420","27.92264","26.13904","25.86794","26.44973","27.51157","28.85895","27.51264","27.44247","28.27836","28.64683","27.63606","26.93096","28.39972","25.99562","27.34601","26.95686","28.77041","28.80849","27.94890","27.34767","29.17918","29.21786","32.46026","148.12","-30.04"
"mint.75","24.33464","25.35027","26.36493","24.81507","26.94192","27.87760","26.38548","26.56110","24.92438","24.78689","25.69562","25.97589","26.15014","25.79016","25.20466","25.83644","26.24192","25.58852","26.58904","26.85151","25.72082","25.77842","26.80986","25.88082","25.66877","26.26339","26.18493","27.91014","26.60027","26.65628","27.41918","27.20411","27.01288","25.87814","27.55918","25.39616","26.02575","26.40437","27.58795","28.09808","27.05370","27.09071","28.16493","28.48242","31.83576","149.85","-29.49"
"mint.76","23.06106","23.50984","24.19350","23.29972","25.33397","25.98846","24.68920","25.64959","24.08849","23.50742","24.43781","24.59559","24.70603","24.69917","23.92167","24.32904","24.78740","23.91421","24.61191","25.40685","24.55675","24.16896","25.13791","24.60521","23.92685","24.31547","24.59804","26.41589","24.83702","25.20667","25.38761","25.96435","25.46735","24.24061","25.96399","23.97190","24.72274","25.11014","26.11188","26.26813","25.53791","25.50056","26.18017","26.74417","30.23841","150.27","-31.03"
"mint.77","21.80888","22.89727","23.77610","22.43416","24.12280","25.08978","23.78000","24.38407","23.01456","22.64945","23.37867","23.75895","23.41433","23.66105","22.82192","23.42630","24.06329","22.89126","23.92493","23.31192","23.24270","23.09342","24.05781","23.75357","23.16630","23.54754","23.33702","24.76932","23.61425","24.26986","24.71676","24.66044","24.18736","23.37678","25.08137","22.95096","23.18137","23.95549","24.82669","25.08663","23.90056","24.38118","24.85994","25.49669","29.22185","151.11","-29.78"
"mint.78","22.93277","23.57842","23.78795","23.43068","23.70852","24.33168","23.90466","23.34258","23.44301","23.20082","23.33315","23.74876","23.84643","23.50027","22.88516","23.90659","24.53973","23.71612","23.65699","23.73562","23.85425","24.05765","23.74738","24.36034","23.50932","23.69696","24.41185","24.56316","24.04737","24.57033","24.49612","23.96329","24.38446","23.66332","24.28213","23.62754","23.48807","23.82158","24.35890","24.56959","24.24384","25.06374","24.47692","24.44628","26.95638","153.36","-29.43"
"mint.79","22.76579","23.29836","23.69698","23.25918","23.76767","24.48110","23.80275","23.35808","23.41096","23.08770","23.13370","23.52082","23.55425","23.89344","23.25342","23.66071","24.29151","23.36284","23.78137","23.97699","23.80658","23.62404","23.79918","24.00055","23.09288","23.35699","23.74712","24.16822","23.72253","24.13989","24.13342","23.67945","23.80247","23.30956","24.07500","23.52986","23.24548","23.54809","24.16849","24.24438","24.07163","24.77326","24.53764","24.33562","26.85430","153.12","-30.32"
"mint.80","22.16063","22.79003","22.78933","22.75497","23.13305","23.75280","23.11365","22.74078","22.85922","22.75246","22.95041","23.02932","23.29699","23.64153","22.98603","23.31836","24.11233","22.99536","23.22986","23.53808","22.45312","23.06777","23.66703","23.86970","23.25440","23.40302","23.74329","24.15397","23.50000","23.95722","23.96863","23.68778","23.75098","23.06408","23.99614","23.64061","23.19068","23.56557","24.27178","24.20822","23.95233","24.62500","24.59233","24.24493","27.46291","152.87","-31.43"
"mint.81","22.39608","22.73407","23.68986","22.63041","23.70877","24.56175","23.21288","23.23342","23.25178","22.79836","22.82658","23.11781","23.26247","23.44126","22.59123","22.87973","23.90603","22.21503","23.01621","23.49288","22.89205","23.03205","23.55315","23.44270","22.99863","23.36585","23.74904","24.05589","23.33260","23.77890","23.89973","23.85699","23.75178","22.78825","24.11397","23.76658","23.62637","23.47370","24.45808","24.09614","23.85836","24.53060","24.65836","24.33425","27.84503","151.84","-32.79"
"mint.82","22.92303","23.11401","23.85015","22.82164","24.39616","25.64071","24.04652","24.43918","23.72438","22.90820","23.42904","23.99020","23.97131","23.69144","23.05658","23.21315","24.54685","22.67198","23.54548","24.54603","23.33829","23.38705","24.37802","23.83973","23.12904","23.28279","24.13973","25.30497","23.94903","24.74725","25.09066","25.31370","24.35315","23.16093","25.06133","23.55977","23.63096","24.52356","25.41648","25.58630","24.43434","25.26230","26.05836","26.36904","29.76291","150.83","-32.03"
"mint.83","18.13944","18.71610","20.32353","18.54643","20.61894","21.18069","19.83353","21.50960","19.86374","19.03279","19.81753","19.79174","19.77370","20.20820","19.06027","19.83729","20.72603","18.63142","20.03836","20.58274","19.74072","19.65219","21.42493","20.43342","20.35789","19.75824","20.73471","21.51504","20.21583","21.22814","21.27644","22.24380","21.20932","20.11295","21.69229","19.88670","20.00311","20.49971","21.79169","21.61686","20.56305","20.72464","21.86927","21.76400","25.40616","149.56","-33.43"
"mint.84","22.25882","22.88384","24.07808","23.03041","24.58516","25.44508","24.44721","25.25565","23.87562","23.26421","23.98711","24.23681","24.18320","24.46749","23.40817","24.12534","24.81818","23.18961","24.11151","25.15205","24.03890","23.71011","25.38603","24.14795","23.76022","23.54524","24.14790","25.59971","24.35726","25.01813","25.04417","25.89534","24.96630","23.82697","25.55055","23.10192","24.13041","24.48247","25.86658","25.51863","24.85769","24.56658","26.06110","26.32956","30.44521","148.58","-32.22"
"mint.85","22.46503","22.82705","23.35781","22.45342","23.10740","23.75984","22.82630","22.91014","22.54740","22.35628","22.40301","22.55671","22.59588","23.26202","22.44795","22.65918","23.17863","21.91913","22.64411","22.92219","22.19671","22.53268","22.76521","23.11781","22.45616","22.80683","23.14356","23.13205","22.73836","23.48224","23.42466","23.48384","23.02000","22.43798","23.27410","22.97014","22.57151","22.66913","23.71123","23.44478","23.14685","23.84016","23.67781","23.36301","26.23311","151.21","-33.86"
"mint.86","22.70719","23.18115","24.50192","23.17830","24.68104","25.30847","23.71781","24.26986","23.69233","23.05973","23.31731","23.61841","23.57644","23.80000","22.90467","23.57370","24.84055","22.79863","23.89478","24.52210","23.34533","23.55577","24.38006","24.03058","23.09807","23.55525","23.75939","24.82857","23.94192","24.91202","24.77720","24.35440","23.69038","22.80220","24.63699","23.69370","23.35467","23.95519","25.20914","24.93775","24.12466","25.34438","25.56822","25.85852","28.08013","150.78","-33.6"
"mint.87","21.19739","21.34617","22.27425","21.46566","22.24698","22.92610","21.92363","22.38877","21.46986","21.08142","21.28017","21.41699","21.42904","22.33087","21.02767","21.47945","22.42000","20.85246","21.90416","22.09288","21.17885","21.34836","22.07934","22.17233","21.56765","21.95846","22.37389","22.72011","22.03771","22.57654","22.66974","22.31672","22.36143","21.80816","23.08560","22.09441","21.51901","21.85055","22.76288","22.66099","22.27080","22.87049","22.98986","23.18764","25.78609","150.54","-34.95"
